,Unique_ID,Name,Type
513,25623,Pterodroma leucoptera,Tag
514,25624,EARTH SCIENCE %3E OCEANS %3E OCEAN PRESSURE %3E WATER PR,Tag
515,25625,LABORATORY,Tag
516,25626,True Colour,Tag
517,25627,EARTH SCIENCE %3E CRYOSPHERE %3E SEA ICE %3E ICE EXTENT,Tag
518,25628,Pontophilus candidus,Tag
519,25629,Lagoons,Tag
520,25630,SEA ICE CONCENTRATION,Tag
521,25631,Point Henry Pier,Tag
522,25632,CTDTMP,Tag
523,25633,Pterodroma macroptera,Tag
524,25634,drilling,Tag
525,25635,Lakes,Tag
526,25636,SEA ICE FLOE SIZE,Tag
527,25637,Didemnidae,Tag
528,25638,Lake Wollumboola,Tag
529,25639,Puffinus assimilis,Tag
530,25640,EARTH SCIENCE %3E OCEANS %3E SEA ICE %3E ICE EXTENT,Tag
531,25641,sea ice,Tag
532,25642,Land Management,Tag
533,25643,SEA ICE SNOW COVER,Tag
534,25644,Diplosoma listerianum,Tag
535,25645,Porifera,Tag
536,25646,DEPTH,Tag
537,25647,Puffinus carneipes,Tag
538,25648,FLAGELLATES,Tag
539,25649,R%2FV UM %3E R%2FV UMITAKA MARU,Tag
540,25650,Maturity,Tag
541,25651,Penicipelta vittiger,Tag
542,25652,Rhyll,Tag
543,25653,Land Surface,Tag
544,25654,SEA ICE THICKNESS,Tag
545,25655,Port Phillip Bay%2C Victoria,Tag
546,25656,EARTH SCIENCE %3E ATMOSPHERE %3E ATMOSPHERIC CHEMISTRY,Tag
547,25657,Puffinus gavia,Tag
548,25658,Phyoxocephalidae,Tag
549,25659,Trophic Dynamics,Tag
550,25660,Land Use%2Fland Cover,Tag
551,25661,SEA ICE TOPOGRAPHY,Tag
552,25662,Solitary ascidian,Tag
553,25663,Puffinus pacificus,Tag
554,25664,JGOFS %3E Joint Global Ocean Flux Study%2C IGBP,Tag
555,25665,Umitaka Maru,Tag
556,25666,EMPEROR PENGUIN,Tag
557,25667,Landscape,Tag
558,25668,SEA ICE TYPE,Tag
559,25669,EXPOCODE,Tag
560,25670,Puffinus tenuirostris,Tag
561,25671,RMT,Tag
562,25672,Landscape Management,Tag
563,25673,SEA TEMPERATURE,Tag
564,25674,Stercorarius pomarinus,Tag
565,25675,SCAR-MARBIN %3E SCAR Marine Biodiversity Information,Tag
566,25676,GIRTH,Tag
567,25677,Mangroves,Tag
568,25678,Post-settlement mortality,Tag
569,25679,Sterna anaethetus,Tag
570,25680,NITRATE,Tag
571,25681,coasts,Tag
572,25682,Sub bottom profiles,Tag
573,25683,administrative boundaries,Tag
574,25684,drainage,Tag
575,25685,geology,Tag
576,25686,Sedimentation,Tag
577,25687,continental margins,Tag
578,25688,Erosion,Tag
